PBM24,2.464,07,-,-,-,-,0,00,0,00,2.464,07,0,00,28,02 %
PBY22,76,00,-,-,-,-,77,50,75,90,76,00,3.654.328,00,199,98 %
PF23D,32,00,-,-,-,-,32,00,32,00,32,00,960,00,12,76 %
PMJ21,86,00,-,-,-,-,87,00,86,00,80,00,121.394,47,0,00 %
PMY24,2.488,00,-,-,-,-,2.575,00,2.575,00,2.488,00,0,00,0,00 %
PR13,584,00,-,-,-,-,587,00,580,00,584,00,2.024.754,95,-22,62 %
PR15,118,25,-,-,-,-,119,00,117,25,118,25,5.966.878,89,187,66 %
PUL26,1.529,68,-,-,-,-,1.765,00,1.765,00,1.529,68,0,00,0,00 %
PUM21,1.800,00,-,-,-,-,1.800,00,1.800,00,1.800,00,150.030,00,0,00 %
PUO19,368,80,-,-,-,-,373,00,364,50,368,80,0,00,0,00 %
PUY23,834,11,-,-,-,-,0,00,0,00,834,11,0,00,0,00 %
RHC20,1.330,00,-,-,-,-,0,00,0,00,1.330,00,0,00,0,00 %
RPC4O,8.972,50,-,-,-,-,9.300,00,8.850,00,8.972,50,2.042.154,72,0,00 %
SA24D,31,60,-,-,-,-,31,60,31,60,31,60,0,00,0,00 %
SARH,1.060,00,-,-,-,-,0,00,0,00,1.060,00,0,00,-13,35 %
SUC1P,100,00,-,-,-,-,0,00,0,00,100,00,0,00,0,00 %
T2X1,93,50,-,-,-,-,93,50,93,50,93,50,66.582,29,0,00 %
TB21,90,50,-,-,-,-,91,00,89,99,90,50,160.150.993,72,0,00 %
TC21,306,75,-,-,-,-,310,00,305,00,306,75,124.444.588,25,-34,43 %
TC23,194,00,-,-,-,-,195,50,190,00,194,00,1.475.395,62,-15,91 %
TC25P,150,00,-,-,-,-,150,00,149,00,150,00,0,00,0,00 %
TD21,95,75,-,-,-,-,95,75,94,90,95,75,0,00,0,00 %
TFU27,5.891,00,-,-,-,-,0,00,0,00,5.891,00,0,00,-55,14 %
TJ20,98,80,-,-,-,-,100,00,98,00,98,80,801.852.167,86,254,42 %
TN20,112,50,-,-,-,-,113,00,112,30,112,50,0,00,0,00 %
TO21,70,00,-,-,-,-,72,70,69,80,71,67,21.000.000,00,58,13 %
TO23,50,15,-,-,-,-,52,00,50,15,50,15,117.164,42,50,91 %
TO26,43,25,-,-,-,-,45,00,42,30,50,17,260.375.420,00,45,48 %
TV21,7.350,00,-,-,-,-,7.350,00,7.350,00,7.350,00,73,50,0,00 %
TVPA,74,00,-,-,-,-,74,00,71,50,74,00,228.125,65,0,00 %
TVPE,125,00,-,-,-,-,127,00,127,00,125,00,0,00,0,00 %
TVPP,1,55,-,-,-,-,1,57,1,54,2,96,15.854,08,0,00 %
TVPY,75,00,-,-,-,-,86,00,75,00,75,00,122.097,14,0,00 %
TVPYD,8,80,-,-,-,-,0,75,0,73,8,80,0,00,0,00 %
TVY0,100,00,-,-,-,-,100,00,100,00,100,00,0,00,0,00 %
TX21,97,30,-,-,-,-,98,00,97,00,96,82,542.571.000,00,0,00 %
TX22,87,00,-,-,-,-,87,74,85,10,87,00,105.664.490,47,0,00 %
TX23,77,50,-,-,-,-,78,59,75,00,78,00,128.343.939,50,0,00 %
TX24,70,35,-,-,-,-,71,50,69,00,70,35,398.424.441,11,0,00 %
VSC1O,100,00,-,-,-,-,0,00,0,00,100,00,0,00,0,00 %
VSC2O,100,00,-,-,-,-,0,00,0,00,100,00,0,00,0,00 %
VSC3O,6.600,00,-,-,-,-,6.700,00,6.600,00,5.075,00,18.343,00,0,00 %
YMC9O,100,00,-,-,-,-,0,00,0,00,100,00,0,00,0,00 %
YPCUO,7.999,00,-,-,-,-,8.000,00,7.995,00,7.999,00,1.599.930,00,0,00 %
